first_name,middle_name,last_name,email,do_not_call,p2ptext_optout,mobile_phone,home_phone,work_phone,best_phone,join_date,xdate,membership_status,memb_status_letter,membership_type,monthly_dues_status,yearly_dues_status,union_member,union_name,union_local,accomodations,race,student_yes_no,student_school_name,mailing_pref,actionkit_id,dsa_chapter,ydsa_chapter,congressional_district,address1,address2,city,state,zip,country,lat,lon
Paula,,Morgan,martinezlawrence@example.com,,TRUE,4253458206,,,4253458206,2021-08-09,2024-08-27,Member in Good Standing,M,monthly,canceled_by_failure,canceled_by_processor,"No, but former union member",,,,Native American / Indigenous,"Yes, college student",FLETCHER HS,Yes,825427,San Francisco,,ME_01,50662 Sanchez Well,Suite 197,Nicholasborough,ID,94123,US,,
Lauren,,Nicholson,lisaspencer@example.net,,,263-961-5634,4767871657,,263-961-5634,2021-04-13,2023-01-22,Member,M,one-time,canceled_by_admin,never,"No, not a union member",,,,Other,"Yes, high school student",LAURENS CENTRAL SCHOOL,No,264788,San Francisco,,ME_01,518 William Walk,Suite 855,Port Charleschester,LA,94152,US,,
Gregory,,Mckinney,zwilson@example.com,,,,361-212-0815,,361-212-0815,2021-09-27,2022-12-16,Lapsed,L,monthly,canceled_by_processor,canceled_by_user,"No, but former union member",,,,Hispanic / Latinx,"Yes, college student",EUGENE FIELD ES,Yes,104543,San Francisco,,ME_01,019 Brittany Keys,Apt. 404,Ibarrafurt,TX,94172,US,,
Margaret,,Schultz,phyllis69@example.net,,,(803)702-1312,(336)362-1439,,(803)702-1312,2017-09-20,2019-02-26,Lapsed,L,one-time,canceled_by_admin,never,"No, but former union member",,,,Jewish,No,,Yes,422275,San Francisco,,ME_02,038 Johnson Meadows,Apt. 836,Lewisville,MH,94106,US,,
Daniel,,Hooper,progers@example.com,,,2042736967,673-377-9423,,2042736967,2020-08-28,2023-02-01,Member,M,one-time,canceled_by_processor,,"Yes, current union member",,4030,,Prefer Not to Say,,,Membership card only,303197,San Francisco,,ME_01,29469 Velazquez Grove,Apt. 158,East Kimberly,VI,94147,US,,
Stephanie,,Diaz,joseph45@example.com,,,,,,,2019-06-20,2021-03-27,Lapsed,L,monthly,lapsed,canceled_by_processor,,,,,White / of European Descent,"Yes, college student",Wessington Springs Elementary Cyber School - 94,Yes,216949,San Francisco,,ME_02,656 Nguyen Forks,Suite 134,Clarkechester,DE,94116,US,,
Bruce,,Greer,george11@example.net,,TRUE,274-893-8533,4264532158,,274-893-8533,2022-02-03,2024-11-29,Member in Good Standing,M,annual,past_due,canceled_by_failure,"Yes, retired union member",UFCW,3390,,Hispanic / Latinx,"Yes, graduate student",Alpine Crest Elementary,Membership card only,167182,San Francisco,,ME_01,9401 Stephanie Wall,Apt. 108,Parrishmouth,MO,94162,US,,
Tracey,,Garrison,danielle88@example.net,,,743-822-3096,,,743-822-3096,2022-03-11,2024-02-04,Member in Good Standing,M,one-time,canceled_by_processor,,"Yes, current union member",AFT,4025,,Hispanic / Latinx,"Yes, college student",MARCELINO RODRIGUEZ ROMAN,Membership card only,801950,San Francisco,,ME_02,489 Flowers Park,Apt. 106,Port James,MN,94125,US,,
Suzanne,,Ibarra,jasonclay@example.org,True,,9728307173,,,9728307173,2017-07-25,2018-11-07,Lapsed,L,one-time,canceled_by_processor,canceled_by_user,"No, not a union member",,,,Asian,"Yes, high school student",FALLS CHURCH HIGH SCHOOL ACADEMY,No,834197,San Francisco,,ME_01,77703 Davis Passage,Suite 118,Carrollfort,AR,94131,US,,
William,,Shepherd,tonyadelgado@example.com,,,,,,,2021-05-03,2023-11-08,Member,M,income-based,canceled_by_admin,canceled_by_user,Currently organizing my workplace,,,,Black / of African Descent,,,No,976778,San Francisco,,ME_02,50349 Emily Spurs,Apt. 785,Michelletown,GA,94172,US,,
